"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Western Hemisphere (Region),6739.05,7369.712,7202.385,7479.141,8065.751,8512.908,8756.425,9195.315,9893.462,10587.133,11068.453,11312.328,11778.064,12278.156,12889.283,13364.528,13940.478,14669.645,15083.964,15355.117,16206.324,16343.999,16296.159,16929.342,18118.215,19593.949,20973.129,22325.574,23206.379,22072.918,23838.315,25253.226,25849.012,26366.869,26778.736,26027.267,26100.307,27399.99,28203.133,28784.323,27428.581,30684.526,33682.141,35834.453,37215.861,38488.976,39861.979,41259.431,42684.962,44137.753,45653.429
ASEAN-5,805.418,866.53,885.289,845.602,862.837,817.233,780.527,806.567,912.212,1023.486,1141.981,1256.296,1399.414,1538.094,1726.297,1967.975,2143.223,1988.208,1282.55,1496.914,1572.873,1487.217,1644.355,1821.319,2010.935,2199.532,2607.717,3073.993,3491.424,3387.573,4177.113,4742.895,4931.769,5000.84,4940.604,4719.819,4889.949,5214.637,5513.059,5769.559,5351.31,5903.677,6334.902,6462.066,6647.776,6955.311,7316.748,7711.087,8153.346,8630.235,9139.492
Advanced economies,10288.952,10373.554,10231.397,10583,11005.835,11522.547,13990.859,16175.021,18155.229,18807.701,20933.951,22164.674,23412.484,23249.374,24813.005,26908.105,26928.551,26240.073,26173.395,27411.38,27718.86,27257.469,28258.331,31513.132,34754.802,36360.789,38000.93,41241.186,43282.19,40610.112,42203.187,45084.744,44705.265,44963.52,45803.638,43145.031,44090.652,45842.944,48316.427,48628.597,47672.314,53226.204,54189.764,56864.052,58846.003,61967.09,65067.361,67360.603,69747.704,72116.926,74669.878
Emerging and Developing Asia,362.071,352.899,353.227,366.423,378.102,360.529,362.285,388.716,425.921,445.608,440.349,437.255,486.973,542.427,557.211,656.709,732.624,750.119,674.839,730.876,774.614,807.72,874.694,985.942,1130.724,1291.838,1519.015,1902.269,2268.287,2443.251,2913.296,3456.603,3768.641,4083.286,4370.287,4507.367,4597.704,5009.209,5479.388,5656.641,5684.558,6684.486,6800.564,6865.809,7063.626,7315.37,7779.365,8296.79,8854.583,9422.999,10031.761
Emerging and Developing Europe,2096.755,2160.729,2172.922,2130.91,2034.118,2074.052,2167.181,2299.417,2583.52,no data,no data,no data,1373.702,1850.559,2024.033,2429.491,2738.837,2842.518,2537.781,2179.342,2413.134,2474.422,2808.032,3479.095,4489.891,5592.562,6682.408,8590.251,10593.142,8248.439,9614.604,11245.772,11574.985,12200.587,11458.176,8862.642,8654.835,9767.156,10243.829,10389.962,9717.071,11539.114,13277.055,14012.701,15431.147,17764.315,18189.129,18918.051,19888.771,20875.221,21868.556
Emerging market and developing economies,898.086,922.084,857.063,828.326,813.386,808.296,812.442,880.191,952.157,1021.867,1113.546,1021.92,966.763,1080.576,1146.99,1299.11,1431.157,1493.664,1410.813,1338.466,1447.887,1433.456,1393.053,1544.391,1809.024,2132.952,2491.614,3028.796,3590.277,3383.864,4014.499,4682.885,4879.024,5108.661,5207.422,4829.465,4761.772,5142.127,5427.146,5477.97,5204.47,6070.618,6437.679,6546.432,6708.912,7027.704,7362.837,7755.726,8182.043,8618.169,9074.796
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19413.861,21332.001,19299.796,20316.566,23920.226,24231.372,21714.449,22067.276,22081.837,20082.054,20331.202,22092.407,27076.196,30878.678,31883.703,33742.411,38696.547,42320.698,38534.039,37630.735,40674.814,37595.178,39183.939,40066.887,34566.083,35289.355,37304.31,40251.408,39316.639,38244.011,43074.131,41768.266,45419.762,46968.745,50512.167,53670.633,55271.021,56936.113,58672.588,60435.856
European Union,8508.482,7485.716,7232.226,7051.733,6776.224,6963.19,9527.197,11650.907,12833.798,13011.761,15915.163,16887.729,18130.353,16251.73,17223.399,19484.346,19775.747,18137.179,18673.688,18574.333,17023.618,17257.039,18815.093,23065.451,26420.365,27512.447,29275.226,33804.971,37323.451,33758.692,33308.176,36016.886,33408.448,34868.67,35644.625,30809.056,31488.796,33433.257,36149.538,35438.535,34705.769,39322.328,38176.87,41565.549,43263.268,46804.719,49878.524,51516.589,53226.339,55025.27,56866.121
Latin America and the Caribbean,2558.477,2708.208,2166.488,1925.273,1964.977,2070.134,2004.139,2093.577,2321.549,2560.514,2803.26,2958.68,3186.28,3534.201,3920.106,4127.41,4388.803,4731.462,4705.401,4163.82,4475.519,4311.884,3776.368,3788.28,4285.562,5136.376,5952.959,6972.008,8014.538,7317.949,9011.891,10289.172,10339.284,10350.625,10143.211,8502.181,8108.471,8936.378,8646.721,8386.378,6972.675,8066.51,9165.465,10255.632,10459.753,10712.494,11096.296,11607.136,12139.165,12708.373,13301.086
Major advanced economies (G7),11246.232,11523.93,11405.201,11973.265,12536.326,13219.245,15908.546,18183.5,20319.21,20944.085,22962.628,24390.894,25990.142,26313.868,27960.934,30305.643,30066.584,29492.593,29704.955,31148.036,31699.863,31138.589,31915.191,35032.889,38263.401,39722.743,41196.578,43990.267,45873.954,43463.354,44918.171,47527.978,47524.861,47389.913,48314.432,46169.263,47241.378,48722.379,51221.445,52001.774,50909.405,56258.644,57698.875,60864.876,62935.976,66091.017,69125.567,71561.096,74118.741,76634.138,79287.462
Middle East and Central Asia,2189.745,2262.217,2201.914,2197.797,2161.231,2173.317,2171.006,2520.133,2595.013,2901.499,3519.503,2413.101,1384.078,1483.664,1542.833,1723.914,1938.722,2019.818,1993.536,2206.017,2557.591,2409.678,1866.779,2020.488,2371.907,2822.034,3288.606,3858.482,4656.515,4095.266,4718.183,5685.009,5583.613,5654.388,5660.908,4952.768,4732.113,4767.084,4883.193,4714.674,4119.557,4836.155,5710.711,5527.89,5618.077,5865.419,6079.837,6357.333,6647.666,6930.414,7208.369
Other advanced economies,6894.136,6939.423,6804.874,6713.798,6965.539,6880.448,8315.14,10141.203,11838.789,12747.87,14520.415,15243.755,16088.835,15732.657,17483.913,18928.424,19980.368,19184.271,17152.992,18261.594,18720.67,17973.014,19431.823,22250.067,25276.061,27734.895,29808.561,33803.292,35292.268,32149.813,36781.338,41653.409,41652.965,42783.842,43248.526,39520.056,40026.152,42750.677,44713.821,43639.129,43306.406,50392.208,50394.771,50454.547,51986.804,54355.429,57706.954,59894.785,62131.275,64348.275,67021.231
Sub-Saharan Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,973.794,956.107,908.399,880.836,850.889,1041.184,1152.76,1172.591,1161.32,763.864,751.959,705.486,749.893,906.391,1085.167,1252.097,1413.416,1594.306,1792.322,1666.364,1924.371,2115.006,2176.008,2239.911,2293.107,1983.714,1769.466,1822.631,1930.984,1937.37,1755.859,1910.205,1988.924,1821.594,1634.051,1729.195,1828.325,1901.562,1973.618,2068.969,2172.006
World,2878.03,2894.259,2790.862,2817.707,2867.833,2942.069,3400.963,3848.463,4253.79,4398.862,4740.215,4858.112,4821.291,4878.771,5160.11,5660.832,5733.603,5636.142,5492.067,5598.411,5707.087,5592.845,5677.623,6271.66,6971.597,7462.393,7986.939,8908.113,9661.34,9039.904,9775.321,10750.746,10799.522,10983.897,11144.414,10393.346,10431.887,10964.629,11522.387,11569.296,11163.104,12636.815,13064.779,13514.172,13904.733,14613.202,15279.622,15882.97,16526.382,17174.161,17860.167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
